max_n_leaf_nodes,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,10,{'lr': 1e-05},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890188,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,10,{'lr': 0.01},{'lr': 0.001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
2,10,{'lr': 0.01},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
2,10,{'lr': 0.01},{'lr': 1e-05},42,0.033456577008202336,0.1805578863071391,0.30602730602730605,0.4540283990452947,4244.754551372281,0.6498777379528955,0.6061055173947382
2,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,10,{'lr': 0.001},{'lr': 0.001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
2,10,{'lr': 0.001},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
2,10,{'lr': 0.001},{'lr': 1e-05},42,0.03289355203467331,0.1772971967813193,0.30536130536130535,0.4535479003159477,4208.679575244668,0.645877673614899,0.6075785679768442
2,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,10,{'lr': 0.0001},{'lr': 0.001},42,0.06769277759699863,0.13053672170741906,0.2686480186480186,0.08125900997279205,913.5265873286456,2.671266277650323,0.27238558153292497
2,10,{'lr': 0.0001},{'lr': 0.0001},42,0.01563565088247877,0.10947417808890188,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,10,{'lr': 0.0001},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890188,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,10,{'lr': 1e-05},{'lr': 0.001},42,0.029353500045473453,0.11284218747828635,0.234015984015984,0.09415220218443615,1774.737704583455,2.282374106979997,0.3046575336654927
2,10,{'lr': 1e-05},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
2,10,{'lr': 1e-05},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890188,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
3,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,10,{'lr': 0.01},{'lr': 0.001},42,0.21658507659021473,0.4353504506428896,0.3921078921078921,0.2140180159725665,4449.782992039628,1.3446495902119333,0.4265029640994712
3,10,{'lr': 0.01},{'lr': 0.0001},42,0.10724360372476041,0.24896957337300518,0.32992007992007993,0.0972326770166829,2666.45122201094,2.609089506633851,0.27707819331216493
3,10,{'lr': 0.01},{'lr': 1e-05},42,0.051895595684485436,0.2681714487610391,0.3400765900765901,0.3991290767535815,3470.489124076823,0.6396356904104449,0.609891578872422
3,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,10,{'lr': 0.001},{'lr': 0.001},42,0.2782373080471005,0.48060423313941986,0.3956043956043956,0.21075301117341796,4595.054379732698,1.5362848496294665,0.39427748036506743
3,10,{'lr': 0.001},{'lr': 0.0001},42,0.052294948098517216,0.2709100348025753,0.34057609057609056,0.3993857641919239,3486.7681565166185,0.6405868357349563,0.6095379886137001
3,10,{'lr': 0.001},{'lr': 1e-05},42,0.05160940185139221,0.2673879782584987,0.3398268398268398,0.3987642937165135,3461.4356653319173,0.6381758317551549,0.610435083106184
3,10,{'lr': 0.0001},{'lr': 0.01},42,0.023052225158255838,0.06004082596382683,0.23717948717948717,-0.0270310856702618,92.4556572731507,7.878058623529573,0.1126372377571031
3,10,{'lr': 0.0001},{'lr': 0.001},42,0.1987865537586626,0.38518010534503294,0.37604062604062605,0.16257699582059593,3596.55431346082,1.9241944148222636,0.3419745263622567
3,10,{'lr': 0.0001},{'lr': 0.0001},42,0.22291330987021615,0.4767508676238643,0.3623043623043623,0.23839705521581378,3237.4913828324516,1.2530604650291959,0.44384072931972623
