n_clusters_init,dip_merge_threshold,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,0.052294948098517216,0.27091003480257597,0.34057609057609056,0.3993857641919239,3486.7681565166185,0.6405868357349563,0.6095379886137001
5,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,0.052294948098517216,0.27091003480257597,0.34057609057609056,0.3993857641919239,3486.7681565166185,0.6405868357349563,0.6095379886137001
5,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,0.05191320970459406,0.26887578266174816,0.34015984015984013,0.3990248517369255,3472.0661421134823,0.6395856532277109,0.6099101916581097
5,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
5,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,0.052294948098517216,0.27091003480257597,0.34057609057609056,0.39941073788101333,3486.7336356202177,0.6407752920448508,0.6094679782468743
5,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,0.05244255907086408,0.2701653807777478,0.34065934065934067,0.3991063246032027,3490.711723636568,0.6437737522337513,0.608356228246791
10,0.5,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.5352594772840021,0.7787971292608704,0.6538461538461539,0.29795942085424093,4626.9144946986235,1.1167071248696487,0.47243191476552626
10,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.21839383884738017,0.6293769888969701,0.5599400599400599,0.27604976706224366,3825.1463326334506,0.8928099794475707,0.5283150505640596
10,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.23578441838656516,0.6204515022474856,0.5595238095238095,0.2838460341346978,3861.7216764547147,0.9618127504459117,0.5097326438380545
10,0.5,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.001},{'lr': 0.001},42,0.14724564673520804,0.47941316338624174,0.39843489843489843,0.3241473576756016,4226.002140999312,1.1037783057742319,0.475335256217494
10,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.15082638892003747,0.5153258924087345,0.4471361971361971,0.3278451172652908,4010.4905055389027,0.9249754747445934,0.5194871379505136
10,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.14987445571628108,0.5246218488305162,0.4796869796869797,0.3119689357357873,3369.083147044175,0.872005884464398,0.5341863550210535
10,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,0.052294948098517216,0.27091003480257597,0.34057609057609056,0.3993857641919239,3486.7681565166185,0.6405868357349563,0.6095379886137001
10,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,0.11464264030939814,0.4099997720962298,0.41358641358641357,0.26891266166603855,3597.249077101059,0.9506379181835298,0.5126528048481793
